,mean,ci_lower,ci_upper,Left,Center,Right,total
www.gettyimages.com,-0.5422297297297297,-0.7837837837837838,-0.2702702702702703,31,1,8,40
www.instagram.com,-0.3936787878787878,-0.696969696969697,-0.09090909090909091,27,0,10,37
www.snopes.com,-0.31420740740740744,-0.48148148148148145,-0.1388888888888889,67,8,34,109
www.factcheck.org,-0.2832299999999999,-0.52,-0.02,30,4,16,50
www.yahoo.com,-0.2724176470588235,-0.5098039215686274,-0.0196078431372549,31,3,17,51
www.youtube.com,-0.21724426877470354,-0.32806324110671936,-0.10276679841897234,163,20,95,278
www.politifact.com,-0.21032112676056341,-0.4225352112676056,0.0,41,6,28,75
www.reuters.com,-0.2086141025641026,-0.32905982905982906,-0.08547008547008547,135,19,85,239
www.independent.co.uk,-0.18899729729729728,-0.4864864864864865,0.10810810810810811,21,2,14,37
www.donaldjtrump.com,-0.18801875,-0.5,0.1875,19,0,13,32
www.theguardian.com,-0.18004166666666668,-0.4166666666666667,0.06666666666666667,36,5,24,65
www.bbc.com,-0.17974107142857143,-0.4107142857142857,0.07142857142857142,31,6,20,57
www.forbes.com,-0.17051219512195123,-0.4634146341463415,0.12195121951219512,24,0,18,42
www.politico.com,-0.1669549295774648,-0.38028169014084506,0.056338028169014086,40,3,28,71
www.newsweek.com,-0.12270307692307693,-0.27692307692307694,0.038461538461538464,67,17,50,134
www.nbcnews.com,-0.09667218045112781,-0.2556390977443609,0.06766917293233082,75,8,59,142
apnews.com,-0.09547005076142132,-0.22842639593908629,0.03553299492385787,102,14,82,198
www.usatoday.com,-0.08811754385964912,-0.2631578947368421,0.08771929824561403,59,8,52,119
www.whitehouse.gov,-0.08246904761904762,-0.2857142857142857,0.13095238095238096,47,3,38,88
abcnews.go.com,-0.08241333333333334,-0.3333333333333333,0.16666666666666666,31,3,26,60
www.washingtonpost.com,-0.0766753846153846,-0.3076923076923077,0.15384615384615385,36,4,28,68
www.pbs.org,-0.0710093023255814,-0.3488372093023256,0.20930232558139536,24,0,20,44
www.nytimes.com,-0.06911317829457364,-0.23255813953488372,0.09302325581395349,63,13,59,135
www.cbsnews.com,-0.06642696629213485,-0.2808988764044944,0.14606741573033707,48,1,41,90
www.cnn.com,-0.055419879518072285,-0.20481927710843373,0.09036144578313253,95,9,86,190
www.npr.org,-0.03462295081967213,-0.2786885245901639,0.21311475409836064,32,1,29,62
en.m.wikipedia.org,-0.033898449612403105,-0.1511627906976744,0.08527131782945736,141,25,133,299
x.com,0.05059238578680202,-0.01903553299492386,0.11802030456852793,466,42,542,1050
www.foxnews.com,0.05094634146341464,-0.17073170731707318,0.25609756097560976,42,2,43,87
www.dailymail.co.uk,0.09374307692307693,-0.13846153846153847,0.3230769230769231,27,5,33,65
thehill.com,0.19781639344262295,-0.03278688524590164,0.4262295081967213,21,8,34,63
truthsocial.com,0.20051555555555556,0.0,0.4,40,2,60,102
www.axios.com,0.25066944444444444,-0.05624999999999936,0.5555555555555556,13,1,26,40
www.msn.com,0.25833428571428574,-0.05714285714285714,0.5714285714285714,12,2,23,37
nypost.com,0.26958200000000004,0.08,0.46,36,1,63,100
www.google.com,0.27296896551724137,-0.06896551724137931,0.5862068965517241,10,3,24,37
